timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
530386975.86,41.25,0,42.19,0,0,0,1192.68,992.04,1227.75,992.04,
530386965.80,12.41,0,11.06,0,0,0,675.26,348.16,701.15,348.16,
530386955.73,40.6,0,40.32,0.01,0,0,2960.92,760.03,2958.62,760.03,
530386945.66,69.23,0,68.51,0.01,0,0,2255.39,1559.97,2256.16,1559.98,
530386935.59,15.82,0,16.01,0,0,0,2065.58,549.01,2167.12,549.01,
530386925.52,14.36,0,13.3,0,0,0,1931.6,755.03,1921.17,755.03,
530386915.45,18.35,0,17.91,0.04,0,0,2329.13,800,2341.24,800,
530386905.43,28.69,0.01,29.77,1.67,0,0,2323.39,799.93,2338.66,799.93,
530386895.30,205.33,10.29,202.78,167.04,0,0,1442.23,977.42,1429.15,977.43,
530386885.22,26.19,0,26.57,0.05,0,0,2815.89,675.37,2820.56,675.37,
530386875.20,23.31,0.03,22.47,0.61,0,0,1583.54,991.7,1601.48,375.02,
530386865.12,25.45,0.09,26.04,2.67,0,0,1416.98,650.04,1503.35,500.48,
530386855.01,22.71,0,21.88,0,0,0,938.33,847.36,936.26,447.36,
530386844.94,16.09,0.05,15.58,0.49,0,0,442.35,306.71,439.13,156.71,
530386834.86,13.83,0.08,12.36,1.19,0,0,412.28,133.15,410.72,133.15,
530386824.83,23.9,0.01,23.95,0.23,0,0,714.43,348.63,710.38,348.63,
530386814.81,13.53,0.05,12.63,0.56,0,0,447.44,193.29,449.29,193.29,
530386804.78,82.11,0.61,84.32,10.42,0,0,1895.7,1128.17,1899.73,1128.17,
530386794.76,13.7,0.04,12.93,0.79,0,0,632.81,308.94,594.78,308.94,
530386784.71,69.1,2.13,76.72,70.14,0,0,2166.27,406.25,2169.03,406.25,
530386774.63,173.74,4.57,178.3,115.39,0,0,2176.75,1575.62,2181.21,1575.62,
530386764.57,89.79,1.56,91.58,26.52,0,0,2420.02,841.36,2466.39,841.36,
530386754.49,16.38,0,16.56,0.01,0,0,1428.92,790,1493.09,790.03,
530386744.41,17.73,0,17.69,0.01,0,0,2339.51,797,2336.01,797,
530386734.34,18.22,0,16.83,0,0,0,2334.52,793.75,2327.92,793.75,
530386724.23,170.02,8.91,168.79,143.58,0,0,1831.9,621.88,1824.14,621.88,
530386714.16,65.98,0.95,62.91,14.8,0,0,2384.47,1054.98,2389.83,1054.98,
530386704.14,23.25,0.08,24.23,1.74,0,0,2387.08,399.29,2408.93,399.29,
530386694.06,23.81,0,23.8,0.01,0,0,1786.81,1358.37,1836.26,558.37,
530386683.99,26.01,0.01,26.26,0.09,0,0,1050.21,876.49,1075.44,476.49,
530386673.93,15.31,0.02,13.25,0.36,0,0,456.06,290.75,453.72,190.75,
530386663.86,13.16,0,14.06,0,0,0,404.63,175.15,403.27,125.15,
530386653.79,21.69,0.01,20.6,0.12,0,0,735.88,298.24,735.26,298.24,
530386643.72,13.66,0.01,12.36,0.17,0,0,299.28,161.33,299.1,161.33,
530386633.65,29.97,0.01,29.89,0.16,0,0,1402.9,557.28,1393.56,557.28,
530386623.63,45.94,0.04,46.74,1.76,0,0,1178.62,875.54,1145.15,875.54,
530386613.61,11.82,0,12.08,0.03,0,0,859.63,345.41,839.43,345.41,
530386603.54,41.84,0,40.91,0.09,0,0,2836.63,869.79,2841.89,869.79,
530386593.47,68.5,0,66.83,0.01,0,0,2351.8,1485.69,2365.07,1485.69,
530386583.36,15.69,0,15.04,0,0,0,1915.9,571.78,2011.67,571.78,
530386573.25,14.71,0,14.42,0.05,0,0,2103.26,708.89,2106.9,708.89,
530386563.12,16.15,0,16.95,0.07,0,0,2328.92,791.8,2342.72,791.8,
530386553.05,19.13,0.01,17.88,0.15,0,0,2333.44,789.92,2338.71,789.92,
530386542.95,252.43,10.25,242.78,165.5,0,0,1408.47,1088.79,1405.11,1088.79,
530386532.88,20.94,0,19.69,0.03,0,0,2899.64,561.06,2905.9,561.06,
530386522.81,25.79,0.02,26.5,0.28,0,0,1419.55,1194.71,1441.05,394.71,
530386512.79,19.4,0,19.54,0.01,0,0,1520.44,475.07,1476.53,475.08,
530386502.76,28.65,0.05,28.38,1.04,0,0,826.19,822.29,827.7,422.29,
530386492.65,14.86,0,15.45,0.02,0,0,511.56,308.47,508.62,158.47,
530386482.54,11.19,0,10.48,0,0,0,440.23,151.56,437.29,151.56,
530386472.42,21.86,0,21.38,0,0,0,612.49,325.73,614.1,325.73,
530386462.31,12.7,0,12.59,0,0,0,663.03,219.73,659.4,219.73,
530386452.19,54.72,0,54.69,0,0,0,1743.42,1140.31,1746.52,1140.31,
530386442.08,17.59,0.04,16.93,0.09,0,0,547.86,305.37,502.07,305.37,
530386431.97,28.41,0,27.2,0.01,0,0,2534.32,449.02,2523.05,449.02,
530386421.89,78.56,0,78.53,0.01,0,0,2050.35,1745.75,2056.63,1745.75,
530386411.87,20.02,0,18.68,0,0,0,2443.83,649.88,2491.38,649.88,
530386401.81,15.48,0,15.34,0,0,0,1548.27,803.54,1572.91,803.54,
530386391.73,17.08,0,17.16,0,0,0,2331.65,798.06,2321.27,798.07,
530386381.66,17.81,0,17.05,0.02,0,0,2326.59,796.39,2314.01,796.39,
530386371.61,199.28,10.06,192.62,163.61,0,0,1669.65,682.51,1660.57,682.51,
530386361.49,42.61,0,41.63,0.04,0,0,2612.79,979.03,2612.64,979.04,
530386351.38,17.41,0,17.43,0.01,0,0,2085.15,403.92,2115.93,403.92,
530386341.27,23.83,0,22.72,0.05,0,0,1731.04,1333.48,1806.77,533.48,
530386331.16,26.31,0.01,26.93,0.11,0,0,1029.5,879.2,1035.51,479.2,
530386321.13,11.97,0,12.07,0.01,0,0,465.1,327.81,467.2,177.81,
